Gender,Age [10-15],Age [16-20],Age [21-25],Age [26-30],Age [31-35],Level,access_to_material_in my academy,family_financial_status_allows_me_to_focus,parent_guardian_support_education_learning,feel_supported_accepted_coursemate_friends,atleast_one_close_friend,positive_supportive_relation_with_lecturers,rarely_have_conflict_with_classmate_lecturer,constantly_attend_lectures_on_time,avoid_engaging _risky_behavior,family_status_stable_supportive_in _academic_pursuits,parent_guardian_encourages_academic_pursuit,no_significant_family_issues_interfere_academic_pursuit,strong_sense_belonging_university_community,University_provide_adequate_support_academic_pursuit,feel_safe_comfortable_in_school_environment,What_ your_current_CGPA
Male,0,0,0,0,1,500L,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Not at All,Strongly Agree,Frequently,Stable,Neutral,Disagree,Strong Sense of Belonging,Litle Support,Neutral,3.5 to 4.49
Male,0,0,1,0,0,400L,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Not at All,Strongly Agree,More Frequently,Stable,Agree,Agree,Strong Sense of Belonging,Neutral,Neutral,3.5 to 4.49
Male,0,0,1,0,0,200L,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Most Frequently,Strongly Disagree,More Frequently,Stable,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,4.5 and above
Male,0,1,0,0,0,300L,Strongly Agree,Strongly Agree,Strongly Agree,Neural,Agree,Neutral,Not Frequently,Strongly Agree,More Frequently,Very Stable,Strongly Agree,Strongly Agree,Worst Sense of Belonging,No Support,Strongly Disagree,2.5 to 3.49
Male,0,0,1,0,0,400L,Disagree,Neural,Strongly Agree,Neural,Agree,Agree,Not Frequently,Agree,Not Frequently,Stable,Strongly Agree,Strongly Disagree,Strong Sense of Belonging,No Support,Neutral,2.5 to 3.49
Female,0,1,0,0,0,200L,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Most Frequently,Strongly Agree,More Frequently,Very Stable,Strongly Agree,Strongly Agree,Strong Sense of Belonging,Strong Support,Agree,3.5 to 4.49
Female,0,0,1,0,0,300L,Strongly Agree,Neural,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,More Frequently,Very Stable,Strongly Agree,Neutral,Strong Sense of Belonging,Litle Support,Neutral,2.5 to 3.49
Male,0,1,0,0,0,200L,Agree,Agree,Agree,Agree,Agree,Agree,Not Frequently,Strongly Agree,More Frequently,Very Stable,Agree,Agree,Strong Sense of Belonging,Strong Support,Agree,3.5 to 4.49
Female,0,1,0,0,0,200L,Strongly Agree,Agree,Strongly Agree,Neural,Agree,Strongly Agree,Not Frequently,Strongly Agree,Not Frequently,Very Stable,Strongly Agree,Strongly Agree,Strong Sense of Belonging,Neutral,Strongly Disagree,3.5 to 4.49
Female,0,1,0,0,0,200L,Strongly Agree,Neural,Strongly Agree,Agree,Agree,Neutral,Not at All,Strongly Agree,More Frequently,Stable,Strongly Disagree,Agree,Neutral,Neutral,Agree,3.5 to 4.49
Male,0,1,0,0,0,200L,Agree,Agree,Strongly Agree,Neural,Neutral,Neutral,Not at All,Agree,Not More Frequently,Stable,Strongly Agree,Neutral,Neutral,Neutral,Neutral,2.5 to 3.49
Male,0,1,0,0,0,200L,Neutral,Neural,Strongly Agree,Neural,Neutral,Neutral,Most Frequently,Strongly Disagree,More Frequently,Neutral,Agree,Neutral,Neutral,Neutral,Agree,2.5 to 3.49
Male,0,1,0,0,0,400L,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Not Frequently,Agree,More Frequently,Stable,Strongly Agree,Strongly Agree,Little Sense of Belonging,Litle Support,Agree,2.5 to 3.49
Male,0,0,0,1,0,200L,Disagree,Disagree,Neutral,Agree,Agree,Agree,Not Frequently,Agree,Frequently,Stable,Agree,Agree,Neutral,Litle Support,Agree,3.5 to 4.49
Male,0,1,0,0,0,300L,Neutral,Agree,Neutral,Agree,Agree,Disagree,Not at All,Agree,Not More Frequently,Neutral,Agree,Disagree,Little Sense of Belonging,Litle Support,Agree,2.0 to 2.49
Male,0,0,1,0,0,200L,Strongly Agree,Agree,Agree,Disagree,Disagree,Disagree,Not Frequently,Strongly Agree,Not More Frequently,Not Stable,Agree,Agree,Little Sense of Belonging,No Support,Agree,2.0 to 2.49
Male,0,1,0,0,0,200L,Agree,Agree,Agree,Agree,Agree,Agree,Most Frequently,Agree,More Frequently,Stable,Agree,Agree,Strong Sense of Belonging,Strong Support,Agree,2.5 to 3.49
Male,0,1,0,0,0,200L,Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Not at All,Strongly Agree,More Frequently,Very Stable,Agree,Agree,Neutral,Litle Support,Disagree,2.5 to 3.49
Male,0,0,1,0,0,200L,Agree,Agree,Agree,Agree,Agree,Agree,Not at All,Agree,Neutral,Stable,Agree,Agree,Neutral,Neutral,Agree,2.0 to 2.49
Male,0,0,1,0,0,200L,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Not at All,Disagree,Not Frequently,Very Stable,Agree,Agree,Little Sense of Belonging,Litle Support,Strongly Agree,2.0 to 2.49
Male,0,1,0,0,0,200L,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Not at All,Strongly Agree,Frequently,Stable,Strongly Agree,Agree,Neutral,Litle Support,Agree,2.5 to 3.49
Male,0,1,0,0,0,200L,Agree,Agree,Agree,Agree,Agree,Neutral,Not at All,Agree,Neutral,Stable,Agree,Agree,Strong Sense of Belonging,Strong Support,Agree,2.5 to 3.49
Male,0,1,0,0,0,200L,Neutral,Disagree,Strongly Agree,Neural,Strongly Disagree,Disagree,Not at All,Agree,Not More Frequently,Stable,Agree,Neutral,Neutral,Neutral,Disagree,2.0 to 2.49
Female,0,0,0,1,0,300L,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree,Neutral,Not at All,Strongly Agree,More Frequently,Not Very Stable,Strongly Agree,Neutral,Little Sense of Belonging,Bad Support,Neutral,2.5 to 3.49
Male,0,1,0,0,0,300L,Neutral,Neural,Strongly Agree,Agree,Strongly Agree,Neutral,Not at All,Agree,Not More Frequently,Very Stable,Strongly Agree,Strongly Agree,Little Sense of Belonging,Neutral,Agree,2.5 to 3.49
Male,0,0,1,0,0,200L,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Not at All,Strongly Agree,Not More Frequently,Stable,Strongly Agree,Strongly Agree,Strong Sense of Belonging,Strong Support,Agree,2.5 to 3.49
Male,0,0,1,0,0,200L,Neutral,Neural,Agree,Agree,Agree,Agree,Not at All,Agree,Frequently,Not Very Stable,Agree,Agree,Strong Sense of Belonging,Strong Support,Strongly Agree,2.5 to 3.49
Male,0,0,1,0,0,200L,Agree,Neural,Agree,Agree,Agree,Neutral,Not at All,Agree,Not More Frequently,Stable,Strongly Agree,Agree,Strong Sense of Belonging,Strong Support,Strongly Disagree,2.0 to 2.49
Male,0,1,0,0,0,200L,Agree,Agree,Agree,Agree,Agree,Disagree,Not at All,Strongly Agree,Not Frequently,Very Stable,Agree,Agree,No Sense of Belonging,Litle Support,Agree,2.5 to 3.49
Male,0,0,1,0,0,200L,Agree,Agree,Agree,Agree,Agree,Disagree,Not at All,Neutral,Frequently,Neutral,Agree,Neutral,Neutral,Strong Support,Agree,2.0 to 2.49
Male,0,0,1,0,0,200L,Neutral,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Not at All,Agree,Not More Frequently,Neutral,Agree,Neutral,Little Sense of Belonging,Neutral,Neutral,2.5 to 3.49
Female,0,0,1,0,0,200L,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Not More Frequently,Not Stable,Agree,Strongly Disagree,Strong Sense of Belonging,Neutral,Agree,2.5 to 3.49
Female,0,0,1,0,0,300L,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Frequently,Strongly Agree,More Frequently,Stable,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,2.5 to 3.49
Female,0,1,0,0,0,300L,Agree,Agree,Strongly Agree,Neural,Strongly Agree,Neutral,Not at All,Agree,Frequently,Very Stable,Agree,Agree,Little Sense of Belonging,Strong Support,Strongly Agree,2.5 to 3.49
Female,0,0,1,0,0,200L,Strongly Disagree,Neural,Strongly Disagree,Agree,Agree,Strongly Disagree,Not at All,Agree,More Frequently,Stable,Agree,Agree,Neutral,Neutral,Agree,2.0 to 2.49
Female,0,0,1,0,0,200L,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Not at All,Strongly Agree,Frequently,Very Stable,Strongly Agree,Agree,Strong Sense of Belonging,Strong Support,Agree,2.5 to 3.49
Male,0,0,1,0,0,200L,Agree,Agree,Agree,Agree,Agree,Neutral,Not at All,Neutral,Neutral,Stable,Agree,Agree,Neutral,Neutral,Strongly Agree,2.5 to 3.49
Male,0,1,0,0,0,200L,Neutral,Strongly Disagree,Agree,Neural,Strongly Agree,Agree,Not at All,Strongly Agree,More Frequently,Very Stable,Strongly Agree,Neutral,Neutral,Strong Support,Agree,2.5 to 3.49
Male,0,0,1,0,0,200L,Neutral,Disagree,Neutral,Neural,Neutral,Agree,Not at All,Strongly Agree,More Frequently,Neutral,Neutral,Neutral,Strong Sense of Belonging,Strong Support,Strongly Agree,2.5 to 3.49
Male,0,0,1,0,0,200L,Agree,Neural,Agree,Neural,Neutral,Neutral,Not Frequently,Agree,Frequently,Neutral,Agree,Agree,Little Sense of Belonging,Litle Support,Agree,2.0 to 2.49
Male,0,0,1,0,0,200L,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Most Frequently,Strongly Disagree,More Frequently,Very Stable,Strongly Disagree,Strongly Disagree,Strong Sense of Belonging,Strong Support,Strongly Disagree,2.5 to 3.49
Female,0,0,1,0,0,200L,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Not at All,Agree,Not Frequently,Neutral,Agree,Agree,Strong Sense of Belonging,Strong Support,Agree,2.0 to 2.49
Female,0,0,1,0,0,200L,Agree,Agree,Agree,Agree,Agree,Agree,Not at All,Agree,Not Frequently,Very Stable,Strongly Agree,Agree,Strong Sense of Belonging,Strong Support,Strongly Agree,2.0 to 2.49
Female,0,1,0,0,0,200L,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Not Frequently,Strongly Agree,Not Frequently,Stable,Strongly Agree,Agree,Strong Sense of Belonging,Strong Support,Strongly Agree,2.0 to 2.49
Male,0,0,0,0,1,200L,Agree,Neural,Agree,Agree,Agree,Agree,Not at All,Agree,Frequently,Stable,Agree,Neutral,Strong Sense of Belonging,Neutral,Agree,2.5 to 3.49
Female,0,1,0,0,0,300L,Agree,Neural,Agree,Agree,Strongly Agree,Agree,Not at All,Agree,More Frequently,Very Stable,Agree,Strongly Disagree,Little Sense of Belonging,Neutral,Neutral,4.5 and above
Male,0,1,0,0,0,200L,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Not at All,Agree,More Frequently,Stable,Strongly Agree,Strongly Agree,Strong Sense of Belonging,Litle Support,Strongly Agree,3.5 to 4.49
Male,0,1,0,0,0,300L,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,More Frequently,Stable,Agree,Agree,Neutral,Neutral,Neutral,3.5 to 4.49
Male,0,1,0,0,0,200L,Strongly Disagree,Neural,Agree,Neural,Disagree,Strongly Disagree,Not at All,Neutral,Frequently,Stable,Agree,Neutral,Neutral,Litle Support,Neutral,less than 2.0
Female,0,1,0,0,0,400L,Agree,Agree,Agree,Agree,Agree,Agree,Not at All,Strongly Agree,Neutral,Not Very Stable,Neutral,Neutral,Little Sense of Belonging,Neutral,Agree,2.0 to 2.49
Male,0,1,0,0,0,200L,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Very Stable,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,4.5 and above
Female,0,0,0,1,0,400L,Agree,Disagree,Strongly Agree,Agree,Neutral,Disagree,Not at All,Strongly Disagree,Not Frequently,Stable,Strongly Agree,Agree,No Sense of Belonging,Strong Support,Agree,2.5 to 3.49
Female,0,1,0,0,0,400L,Agree,Agree,Strongly Agree,Neural,Agree,Neutral,Not Frequently,Neutral,Frequently,Very Stable,Strongly Agree,Agree,Little Sense of Belonging,Litle Support,Agree,3.5 to 4.49
Female,0,0,1,1,0,500L,Neutral,Strongly Agree,Strongly Agree,Neural,Strongly Agree,Strongly Agree,Not Frequently,Strongly Agree,More Frequently,Very Stable,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,3.5 to 4.49
Female,0,0,1,0,0,400L,Agree,Neural,Agree,Neural,Agree,Agree,Not Frequently,Agree,Frequently,Stable,Strongly Agree,Agree,No Sense of Belonging,Litle Support,Neutral,3.5 to 4.49
Male,0,0,1,0,0,400L,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Not at All,Agree,Not Frequently,Stable,Agree,Strongly Agree,Neutral,Neutral,Disagree,2.5 to 3.49
Female,0,1,0,0,0,200L,Strongly Agree,Strongly Agree,Strongly Agree,Neural,Disagree,Neutral,Not at All,Agree,More Frequently,Stable,Strongly Agree,Strongly Agree,Worst Sense of Belonging,Bad Support,Strongly Disagree,3.5 to 4.49
Female,0,0,1,0,0,400L,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Not Frequently,Stable,Agree,Agree,Little Sense of Belonging,Strong Support,Agree,3.5 to 4.49
Female,0,1,0,0,0,400L,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Not at All,Agree,More Frequently,Stable,Agree,Agree,Strong Sense of Belonging,Strong Support,Agree,4.5 and above
Male,0,0,0,0,1,500L,Neutral,Neural,Disagree,Agree,Neutral,Neutral,Not at All,Agree,Frequently,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,3.5 to 4.49
Female,0,0,1,0,0,300L,Disagree,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Not at All,Agree,More Frequently,Neutral,Agree,Neutral,Little Sense of Belonging,Strong Support,Agree,2.0 to 2.49
Female,0,1,0,0,0,200L,Agree,Agree,Agree,Neural,Strongly Agree,Agree,Not at All,Agree,Frequently,Stable,Agree,Agree,Neutral,Neutral,Neutral,3.5 to 4.49
Female,0,0,1,0,0,300L,Disagree,Neural,Neutral,Neural,Neutral,Neutral,Not at All,Agree,More Frequently,Neutral,Agree,Agree,Neutral,Neutral,Neutral,4.5 and above
Male,0,1,0,0,0,300L,Neutral,Agree,Agree,Neural,Strongly Agree,Agree,Not at All,Neutral,Frequently,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,4.5 and above
Male,0,1,0,0,0,300L,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Not Frequently,Strongly Agree,Not More Frequently,Stable,Strongly Agree,Neutral,Little Sense of Belonging,Neutral,Neutral,3.5 to 4.49
Female,0,1,0,0,0,200L,Disagree,Agree,Strongly Agree,Agree,Neutral,Agree,Not at All,Agree,Frequently,Very Stable,Strongly Agree,Strongly Agree,Little Sense of Belonging,Neutral,Neutral,3.5 to 4.49
Female,0,1,0,0,0,200L,Agree,Agree,Agree,Neural,Neutral,Disagree,Not at All,Agree,Not More Frequently,Stable,Agree,Agree,Strong Sense of Belonging,Bad Support,Agree,3.5 to 4.49
Female,0,0,1,0,0,300L,Neutral,Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Not Frequently,Strongly Agree,More Frequently,Not Stable,Strongly Agree,Strongly Disagree,Strong Sense of Belonging,Litle Support,Neutral,4.5 and above
Female,0,1,0,0,0,200L,Neutral,Neural,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,More Frequently,Very Stable,Strongly Agree,Agree,Little Sense of Belonging,Neutral,Neutral,3.5 to 4.49
Female,0,1,0,0,0,200L,Agree,Neural,Strongly Agree,Agree,Agree,Agree,Frequently,Agree,Frequently,Stable,Strongly Agree,Neutral,Little Sense of Belonging,Litle Support,Neutral,4.5 and above
Male,0,1,0,0,0,300L,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Not Frequently,Strongly Agree,More Frequently,Not Stable,Strongly Agree,Agree,Strong Sense of Belonging,Litle Support,Agree,2.5 to 3.49
Female,0,1,0,0,0,200L,Disagree,Disagree,Agree,Neural,Strongly Agree,Neutral,Not at All,Neutral,Neutral,Not Stable,Agree,Strongly Disagree,Little Sense of Belonging,Strong Support,Agree,2.5 to 3.49
Female,0,1,0,0,0,300L,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Not at All,Strongly Agree,Not More Frequently,Very Stable,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,3.5 to 4.49
Female,0,1,0,0,0,200L,Neutral,Agree,Strongly Agree,Neural,Agree,Agree,Neutral,Strongly Agree,More Frequently,Very Stable,Strongly Agree,Strongly Agree,Little Sense of Belonging,No Support,Disagree,3.5 to 4.49
Female,0,1,0,0,0,200L,Strongly Agree,Strongly Agree,Strongly Agree,Neural,Disagree,Agree,Not Frequently,Strongly Agree,Not More Frequently,Stable,Strongly Agree,Strongly Agree,Neutral,Strong Support,Neutral,3.5 to 4.49
