Gender,Age [10-15],Age [16-20],Age [21-25],Age [26-30],Age [31-35],Level,access_to_material_in my academy,family_financial_status_allows_me_to_focus,parent_guardian_support_education_learning,feel_supported_accepted_coursemate_friends,atleast_one_close_friend,positive_supportive_relation_with_lecturers,rarely_have_conflict_with_classmate_lecturer,constantly_attend_lectures_on_time,avoid_engaging _risky_behavior,family_status_stable_supportive_in _academic_pursuits,parent_guardian_encourages_academic_pursuit,no_significant_family_issues_interfere_academic_pursuit,strong_sense_belonging_university_community,University_provide_adequate_support_academic_pursuit,feel_safe_comfortable_in_school_environment,What_ your_current_CGPA
1,0,0,0,0,1,3,3,0,0,4,3,0,4,3,0,3,2,1,3,1,2,2
1,0,0,1,0,0,2,3,0,0,0,0,0,4,3,1,3,0,0,3,2,2,2
1,0,0,1,0,0,0,4,6,5,0,4,2,1,4,1,3,3,3,1,2,2,3
1,0,1,0,0,0,1,3,5,4,2,0,2,3,3,1,4,3,3,4,3,4,1
1,0,0,1,0,0,2,1,2,4,2,0,0,3,0,3,3,3,4,3,3,2,1
0,0,1,0,0,0,0,3,0,4,0,0,0,1,3,1,4,3,3,3,4,0,2
0,0,0,1,0,0,1,3,2,4,0,3,2,2,3,1,4,3,2,3,1,2,1
1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,1,4,0,0,3,4,0,2
0,0,1,0,0,0,0,3,0,4,2,0,3,3,3,3,4,3,3,3,2,4,2
0,0,1,0,0,0,0,3,2,4,0,0,2,4,3,1,3,4,0,1,2,0,2
1,0,1,0,0,0,0,0,0,4,2,2,2,4,0,4,3,3,2,1,2,2,1
1,0,1,0,0,0,0,2,2,4,2,2,2,1,4,1,0,0,2,1,2,0,1
1,0,1,0,0,0,2,0,0,4,0,0,0,3,0,1,3,3,3,0,1,0,1
1,0,0,0,1,0,0,1,1,2,0,0,0,3,0,0,3,0,0,1,1,0,2
1,0,1,0,0,0,1,2,0,2,0,0,1,4,0,4,0,0,1,0,1,0,0
1,0,0,1,0,0,0,3,0,0,1,1,1,3,3,4,1,0,0,0,3,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,3,4,0,1
1,0,1,0,0,0,0,0,0,4,1,4,0,4,3,1,4,0,0,1,1,1,1
1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,2,3,0,0,1,2,0,0
1,0,0,1,0,0,0,0,5,0,1,0,0,4,1,3,4,0,0,0,1,3,0
1,0,1,0,0,0,0,0,5,4,0,2,2,4,3,0,3,3,0,1,1,0,1
1,0,1,0,0,0,0,0,0,0,0,0,2,4,0,2,3,0,0,3,4,0,1
1,0,1,0,0,0,0,2,1,4,2,4,1,4,0,4,3,0,2,1,2,1,0
0,0,0,0,1,0,1,2,6,5,0,0,2,4,3,1,2,3,2,0,0,2,1
1,0,1,0,0,0,1,2,2,4,0,3,2,4,0,4,4,3,3,0,2,0,1
1,0,0,1,0,0,0,4,5,4,1,0,1,4,3,4,3,3,3,3,4,0,1
1,0,0,1,0,0,0,2,2,0,0,0,0,4,0,0,2,0,0,3,4,3,1
1,0,0,1,0,0,0,0,2,0,0,0,2,4,0,4,3,3,0,3,4,4,0
1,0,1,0,0,0,0,0,0,0,0,0,1,4,3,3,4,0,0,2,1,0,1
1,0,0,1,0,0,0,0,0,0,0,0,1,4,2,0,0,0,2,1,4,0,0
1,0,0,1,0,0,0,2,6,2,4,3,2,4,0,4,0,0,2,0,2,2,1
0,0,0,1,0,0,0,3,6,5,4,0,3,2,0,4,1,0,4,3,2,0,1
0,0,0,1,0,0,1,0,0,4,0,0,0,0,3,1,3,3,3,1,2,3,1
0,0,1,0,0,0,1,0,0,4,2,3,2,4,0,0,4,0,0,0,4,3,1
0,0,0,1,0,0,0,4,2,5,0,0,4,4,0,1,3,0,0,1,2,0,0
0,0,0,1,0,0,0,3,0,4,4,2,0,4,3,0,4,3,0,3,4,0,1
1,0,0,1,0,0,0,0,0,0,0,0,2,4,2,2,3,0,0,1,2,3,1
1,0,1,0,0,0,0,2,6,0,2,3,0,4,3,1,4,3,2,1,4,0,1
1,0,0,1,0,0,0,2,1,2,2,2,0,4,3,1,0,2,2,3,4,3,1
1,0,0,1,0,0,0,0,2,0,2,2,2,3,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,0,4,6,5,5,4,4,1,4,1,4,4,4,3,4,4,1
0,0,0,1,0,0,0,1,1,0,0,2,2,4,0,3,0,0,0,3,4,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3,4,3,0,3,4,3,0
0,0,1,0,0,0,0,0,0,0,5,0,0,3,3,3,3,3,0,3,4,3,0
1,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,3,0,2,3,2,0,1
0,0,1,0,0,0,1,0,2,0,0,3,0,4,0,1,4,0,4,0,2,2,3
1,0,1,0,0,0,0,3,0,4,4,3,3,4,0,1,3,3,3,3,1,3,2
1,0,1,0,0,0,1,0,0,4,0,0,0,2,0,1,3,0,0,1,2,2,2
1,0,1,0,0,0,0,4,2,0,2,1,4,4,2,0,3,0,2,1,1,2,4
0,0,1,0,0,0,2,0,0,0,0,0,0,4,3,2,2,2,2,0,2,0,0
1,0,1,0,0,0,0,2,0,4,0,0,2,2,2,2,4,3,3,1,2,2,3
0,0,0,0,1,0,2,0,1,4,0,2,1,4,4,3,3,3,0,2,4,0,1
0,0,1,0,0,0,2,0,0,4,2,0,2,3,2,0,4,3,0,0,1,0,2
0,0,0,1,1,0,3,2,5,4,2,3,3,3,3,1,4,3,3,1,2,2,2
0,0,0,1,0,0,2,0,2,0,2,0,0,3,0,0,3,3,0,2,1,2,2
1,0,0,1,0,0,2,0,0,4,4,3,0,4,0,3,3,0,3,1,2,1,1
0,0,1,0,0,0,0,3,5,4,2,1,2,4,0,1,3,3,3,4,0,4,2
0,0,0,1,0,0,2,0,0,0,0,0,0,2,0,3,3,0,0,0,4,0,2
0,0,1,0,0,0,2,2,0,4,0,0,0,4,0,1,3,0,0,3,4,0,3
1,0,0,0,0,1,3,2,2,1,0,2,2,4,0,0,0,2,1,1,2,2,2
0,0,0,1,0,0,1,1,0,2,1,4,2,4,0,1,0,0,2,0,4,0,0
0,0,1,0,0,0,0,0,0,0,2,3,0,4,0,0,3,0,0,1,2,2,2
0,0,0,1,0,0,1,1,2,2,2,2,2,4,0,1,0,0,0,1,2,2,3
1,0,1,0,0,0,1,2,0,0,2,3,0,4,2,0,0,0,1,1,2,2,3
1,0,1,0,0,0,1,3,0,4,4,3,0,3,3,4,3,3,2,0,2,2,2
0,0,1,0,0,0,0,1,0,4,0,2,0,4,0,0,4,3,3,0,2,2,2
0,0,1,0,0,0,0,0,0,0,2,2,1,4,0,4,3,0,0,3,0,0,2
0,0,0,1,0,0,1,2,1,4,0,3,0,3,3,1,1,3,4,3,1,2,3
0,0,1,0,0,0,0,2,2,4,0,3,2,2,3,1,4,3,0,0,2,2,2
0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,3,3,2,0,1,2,3
1,0,1,0,0,0,1,0,0,4,4,3,0,3,3,1,1,3,0,3,1,0,1
0,0,1,0,0,0,0,1,1,0,2,3,2,4,2,2,1,0,4,0,4,0,1
0,0,1,0,0,0,1,2,5,4,0,3,0,4,3,4,4,3,3,1,2,3,2
0,0,1,0,0,0,0,2,0,4,2,0,0,2,3,1,4,3,3,0,3,1,2
0,0,1,0,0,0,0,3,5,4,2,1,0,3,3,4,3,3,3,1,4,2,2
0,0,1,0,0,0,0,2,2,4,0,2,3,4,3,1,4,3,2,0,2,0,2
0,0,1,0,0,0,2,0,0,4,4,3,2,2,3,1,4,3,0,0,1,4,1
0,0,0,0,1,0,0,0,2,2,2,0,2,1,3,1,0,2,1,0,2,0,3
0,0,0,0,0,0,0,0,4,3,4,2,0,1,0,1,4,3,3,3,4,3,3
0,0,1,0,0,0,0,0,0,0,1,3,0,4,0,3,4,0,0,3,4,0,0
0,0,0,1,0,0,1,1,6,1,1,2,4,2,0,1,3,4,4,3,2,3,0
